ItemID,ItemName,forecast_mean,EOQ,safety_stock_ml,rop_ml,Orders_Per_Year
BCH-3-08-00272,بوشارتي ملح ,2852.7081485789754,353.0,1338.447319881066,4191.155468460041,420.7
BCH-3-08-00273,بوشارتي ملح باربكيو,4878.62505465372,428.0,1412.9550239759722,6291.580078629692,593.1
BCH-3-08-00274,بوشارتي هوت باربكيو,7576.437931204174,539.0,2220.1882021302213,9796.626133334395,730.3
BCH-3-08-00275,بوشارتي هوت باربكيو نيو,6136.865970922055,455.0,1353.7397569611335,7490.605727883189,701.0
BCH-3-08-00276,مقرمش كاتشب كلاسيك,76.7365309786852,59.0,162.7751127046277,239.5116436833129,67.1
BCH-3-08-00284,بوشارتي مارشميللو سبايسي,1735.9124597529321,277.0,1425.326923797487,3161.239383550419,325.5
BCH-3-08-00310,مقرمش جبنة كوول,213.41785811943726,87.0,48.16846588601545,261.5863240054527,127.9
BCH-3-08-00311,مقرمش شوكولاتة باربكيو,692.662768605959,159.0,211.15320877848274,903.8159773844417,226.0
BCH-3-08-00312,مقرمش شوكولاتة سادة,919.6607726927651,183.0,365.00743592822744,1284.6682086209926,261.3
BCH-3-08-00313,مقرمش شيبس باربكيو,918.3370844604858,187.0,220.92313992222986,1139.2602243827157,255.7
BCH-3-08-00334,بوشارتي كرانشي كلاسيك,596.7493009949701,178.0,1747.6985889040338,2344.4478898990037,174.1
BCH-3-08-00335,بوشارتي مارشميللو حار,132.61964359080486,85.0,640.9200469347898,773.5396905255946,81.2
CHB-3-07-00077,شوكو بوم كرانشي هوت,13038.088675742569,833.0,6626.164515556021,19664.25319129859,813.5
CHB-3-07-00083,شوكو بوم كاتشب كلاسيك,7.688283533285039,28.0,12.195706857866965,19.883990391152004,14.4
CHB-3-07-00088,شوكو بوم بوب كورن باربكيو,43.078739007101085,47.0,96.58581865523996,139.66455766234105,47.6
CHB-3-07-00091,شوكو بوم فشار باربكيو,2577.4150972000425,374.0,7231.444329994302,9808.859427194344,358.6
CHB-3-07-00106,شوكو بوم شيبس كوول,1225.6187562861285,242.0,306.339657266201,1531.9584135523296,263.5
CHB-3-07-00109,شوكو بوم كرانشي سادة,1277.9859261556355,235917.0,2866.359185397428,4144.345111553063,0.3
CHB-3-07-00116,شوكو بوم كاتشب سبايسي,14045.276193986103,865.0,5819.979108717178,19865.25530270328,844.5
FRF-2-01-00032,كرنك جبنة سوبر,6.120707952338293,21.0,6.644058019111116,12.764765971449409,15.5
FRF-2-01-00375,فرفشة فشار كلاسيك,35.56477887717902,52.0,95.27589323743868,130.8406721146177,35.5
FRF-2-01-00390,فرفشة فشار سوبر,48.6569860419238,62.0,116.32465081071474,164.98163685263853,41.0
FRF-2-01-00391,فرفشة هوت باربكيو,1067.2734488766594,287.0,459.23101858911514,1526.5044674657745,193.7
FRF-2-01-00392,فرفشة ملح فواكه,24.03961463471919,45.0,34.74422018701917,58.78383482173835,27.7
FRF-2-01-00393,فرفشة فشار باربكيو,1037.174185431779,280.0,430.16833768914665,1467.3425231209258,192.7
FRF-2-01-00394,فرفشة بوب كورن باربكيو,17.919418115420264,40.0,36.3239164798523,54.243334595272565,23.5
FRF-2-01-00395,فرفشة شيبس كلاسيك,975.4495448785826,272.0,421.3320263363285,1396.7815712149113,186.5
FRF-2-01-00400,فرفشة هوت شوكولاتة,50.94311263658321,64.0,91.31955480298011,142.2626674395633,41.4
FRF-2-01-00401,فرفشة هوت كرز سوبر,432.001138856381,195.0,128.7729233517081,560.774062208089,115.5
FRF-2-01-00403,فرفشة هوت جبنة,25.886464558135987,48.0,55.327993985761275,81.21445854389727,28.0
FRF-2-01-00419,كرنك شيبس هوت,5.557228489097563,15.0,7.28591235853865,12.843140847636214,19.8
FRF-2-01-00424,فرفشة ملح سادة,8161.313071887197,804.0,4711.367693068835,12872.680764956032,527.7
FRF-2-01-00440,فرفشة ملح سوبر,5.24491808708395,23.0,2.7468749096861065,7.991792996770057,11.7
FRF-2-01-00441,فرفشة جبنة باربكيو,653.9816428380414,246.0,165.08433136386182,819.0659742019031,138.3
FRF-2-01-00445,فرفشة هوت فواكه,43.383347942575554,62.0,73.94386737109608,117.32721531367163,36.7
FRF-2-01-00450,فرفشة هوت كرز,39.269776681058715,56.0,46.11940459194169,85.3891812730004,36.3
FRF-2-01-00451,فرفشة هوت كوول,9138.570994861106,847.0,4878.879760487933,14017.450755349038,561.0
FRF-2-01-00453,فرفشة ملح كوول,95.19999481648738,71.0,58.07990255920291,153.27989737569027,70.1
FRF-2-01-00454,كرنك شوكولاتة سوبر,163.20028198061928,87.0,111.03864331432504,274.23892529494435,97.4
FRF-2-01-00455,كرنك جبنة فواكه,134.4165885666347,84.0,72.97193770267418,207.38852626930887,83.5
FRF-2-01-00456,كرنك بوب كورن سوبر,23.36417492540372,27.0,26.705641733029854,50.069816658433574,45.1
FRF-2-01-00457,كرنك فشار كلاسيك,79.69811156210034,53.0,33.448105643861645,113.14621720596199,78.7
FRF-2-01-00458,بوكسو بوب كورن سوبر,22.979401142315904,39.0,23.39101576143427,46.370416903750176,30.7
FRF-2-01-00460,فرفشة بوب كورن كلاسيك,1199.394802486669,387.0,709.9701414264191,1909.3649439130882,161.2
FRF-2-01-00474,فرفشة بوب كورن كوول,6.644280098460346,22.0,10.561454928671317,17.205735027131663,15.7
FRF-2-01-00475,فرفشة مارشميللو كرز,1091.7272624126178,287.0,1262.7322437052183,2354.459506117836,197.8
FRF-2-01-00477,فرفشة مارشميللو خضار,3350.0086043261126,433.0,760.289249585887,4110.2978539119995,402.2
FRF-2-01-00484,فرفشة جبنة فلامينج,206.9216982552514,135.0,928.3284025556387,1135.2501008108902,79.5
FRF-2-01-00487,فرفشة شوكولاتة هوت,1891.950447056782,449.0,1557.377847538381,3449.328294595163,218.9
FRF-2-02-00070,رايق جبنة سادة,26114.97637211805,2189.0,8899.236740819206,35014.21311293726,620.2
FRF-2-02-00071,رايق بوب كورن سادة,3786.489181611543,823.0,1387.3059232009073,5173.7951048124505,239.2
FRF-2-02-00074,رايق بوب كورن باربكيو,239.3839563934748,206.0,601.4802249483661,840.8641813418409,60.6
FRF-2-03-00004,رايق شوكولاتة كرز,4895.021169977025,991.0,4952.73557340679,9847.756743383816,256.8
FRF-2-04-00005,رايق كاتشب كلاسيك,56.059039918093966,57.0,78.8362129073105,134.89525282540444,51.3
GRF-3-09-00001,جرافيتي بوب كورن سويت,1.8943068665051659,12.0,1.57027989532563,3.4645867618307964,8.3
GRF-3-09-00002,جرافيتي بوب كورن هوت,0.9599277290502165,10.0,0.8370410376431545,1.7969687666933711,5.2
GRF-3-09-00003,جرافيتي شوكو كرانش,3.0469143402436956,15.0,7.472492721868927,10.519407062112624,10.3
GRF-3-09-00004,جرافيتي مارشملو ميكس,1.085714918916933,7.0,1.8661835769071806,2.9518984958241137,7.8
GRF-3-09-00009,جرافيتي توت بوم,20.24081415266554,35.0,26.463210875851146,46.70402502851668,29.9
GRF-3-09-00010,جرافيتي سناك ستار,19.908844222872325,35.0,23.72293919762875,43.63178342050108,29.4
GRF-3-09-00011,جرافيتي كاتشب بوم,54.651316164434,58.0,52.31575654422601,106.96707270866001,49.3
GRF-3-09-00012,جرافيتي باربكيو سبايسي,22.641925049790178,36.0,34.50067837795084,57.14260342774102,32.6
GRF-3-09-00014,جرافيتي مانجو بوب,98.24639712759098,32569.0,194.09682084015873,292.3432179677497,0.2
GRF-3-09-00024,جرافيتي فواكه سموذي,277.55091404839516,129.0,117.94420182623485,395.49511587463,112.1
GRF-3-09-00025,جرافيتي جبنة رانش,371.27337012208096,143.0,139.84975321302275,511.12312333510374,135.1
GRF-3-09-00026,جرافيتي فانيليا كريم,1375.8405959586598,288.0,1278.2238020174516,2654.0643979761116,248.6
GRF-3-09-00027,جرافيتي ملح كريستال,1564.0746196592297,290.0,1205.570544987705,2769.645164646935,280.3
MRM-4-01-00005,مرشملو كرانشي سوبر,175.524953810195,141.0,129.46609591137755,304.99104972157255,64.6
MRM-4-01-00006,مرشملو كرانشي سادة,178.61532370511262,141.0,112.88762307705105,291.5029467821637,65.8
MRM-4-01-00007,مرشملو كاتشب خضار,225.95246042767397,163.0,197.2466474357005,423.1991078633745,72.0
MRM-4-01-00017,مرشملو كاتشب فواكه,77.58901792600201,115.0,84.41780952659953,162.00682745260156,35.0
MRM-4-01-00018,مرشملو كرانشي هوت,39.882987039424,66.0,47.28815282024386,87.17113985966786,31.5
MRM-4-01-00019,مرشملو توت بري,31.749604853830565,44.0,20.759957627124376,52.50956248095494,37.1
MRM-4-01-00020,مرشملو هوت كرز,35.72761788720507,49.0,13.557508319937316,49.28512620714238,38.0
MRM-4-01-00021,مرشملو ليمون,36.80662504574467,47.0,22.976931304328943,59.78355635007361,40.3
MRM-4-01-00026,مرشملو قهوة,10.379245474249972,28.0,10.62037688132025,20.999622355570224,19.2
MRM-4-01-00038,مرشملو شيبس باربكيو كلاسيك,3.9049459180348176,11.0,3.453355961752189,7.358301879787007,17.7
MRM-4-01-00039,مرشملو كاتشب سوبر,122.02390263971141,106.0,107.6787266166968,229.70262925640822,59.8
MRM-4-01-00040,مرشملو شيبس سوبر,198.79758987444905,152.0,92.33642299914978,291.1340128735988,68.2
MRM-4-01-00041,مرشملو فشار كوول,102.80843948000752,97.0,67.03770324861763,169.84614272862515,55.0
MRM-4-01-00042,مرشملو فشار سوبر,175.18721340770594,184.0,144.45562897549624,319.64284238320215,49.4
MRM-4-01-00043,مرشملو فشار حار,205.39740122313162,194.0,146.98002961089074,352.37743083402233,55.1
MRM-4-01-00044,مرشملو فشار باربكيو,103.15655546836534,131.0,87.88047014448446,191.0370256128498,41.0
MRM-4-01-00045,مرشملو هوت ,31.92901418016622,44.0,17.74182554409758,49.6708397242638,37.5
MRM-4-01-00046,مرشملو هوت سوبر,41.142799495767115,68.0,23.369007039438056,64.51180653520517,31.3
MRM-4-01-00047,مرشملو هوت كوول,44.19895364533665,55.0,22.588126914866333,66.78708056020298,41.7
MRM-4-01-00048,مرشملو هوت هوت,34.48559064412142,46.0,20.876385097016513,55.36197574113794,39.3
MRM-4-01-00049,مرشملو مانجو,35.310116460871285,61.0,21.36797652385802,56.678092984729304,30.0
MRM-4-01-00050,مرشملو جوز هند,52.19532878726388,78.0,37.37619307593551,89.5715218631994,34.6
MRM-4-01-00051,مرشملو فانيليا,37.25656584431293,64.0,18.389878747305485,55.64644459161842,30.1
MRM-4-01-00054,مرشملو هوت باربكيو,3.865046796107136,25.0,3.133000114266098,6.998046910373234,8.0
MRM-4-01-00057,مرشملو مارشميللو سبايسي,14.572557785299239,38.0,18.75180465825291,33.32436244355215,19.9
MRM-4-01-00058,مرشملو فراولة,4.976801282686125,19.0,4.891256240306595,9.868057522992721,13.6
MRM-4-01-00059,مرشملو مارشميللو كلاسيك,9.06400246481704,23.0,16.88502177212587,25.94902423694291,20.5
MRM-4-01-00060,مرشملو جبنة باربكيو,140.04666657372897,153.0,272.30146266415824,412.3481292378872,47.6
MRM-4-01-00061,مرشملو جبنة كلاسيك,440.2276091186186,305.0,250.54900772769824,690.7766168463169,75.1
MRM-4-01-00062,مرشملو جبنة هوت,420.76022654971365,281.0,370.93307865192673,791.6933052016404,78.0
MRM-4-01-00063,مرشملو جبنة سبايسي,517.9248724339645,319.0,360.4305851396824,878.355457573647,84.5
MRM-4-01-00064,مرشملو جبنة فواكه,236.12726876539563,187.0,176.82641667815705,412.9536854435527,65.7
MRM-4-01-00066,مرشملو شيبس كرز,17.79755908966049,49.0,30.181126512943806,47.978685602604294,19.1
MRM-4-01-00067,مرشملو كرانشي فواكه,45.58083243405122,85.0,65.47532318783324,111.05615562188446,27.8
MRM-4-01-00068,مرشملو ملح باربكيو,22.99928675756814,53.0,17.576109106882203,40.57539586445034,22.6
MRM-4-01-00069,مرشملو ملح عادي,24.00457939131044,54.0,25.677596007537165,49.682175398847605,23.0
MRM-4-02-00001,مرشملو موز,175.9039435457743,117.0,222.33702379445157,398.2409673402259,78.1
MRM-4-02-00002,مرشملو نعناع,111.91932696245922,118.0,92.1875181376061,204.10684510006533,49.5
MRM-4-02-00003,مرشملو عسل,128.66471734445142,123.0,115.24456908114549,243.90928642559692,54.3
MRM-4-02-00004,مرشملو برتقال,90.87609502626854,100.0,93.89673025947553,184.7728252857441,47.1
NKA-2-05-00097,نكهة جبنة سوبر,1461.1514833853216,551.0,2387.022729897623,3848.1742132829445,137.9
NKA-2-05-00130,نكهة عسل,2.958503052684086,17.0,3.2156063189015653,6.174109371585651,9.1
NKA-2-05-00133,نكهة جبنة أبيض,603.5188868536148,254.0,1164.609908858941,1768.128795712556,123.4
NKA-2-05-00134,نكهة جبنة رومي,137.99655602539187,125.0,376.2925491259595,514.2891051513514,57.4
NKA-2-05-00135,نكهة فراولة,45.31969411592111,70.0,109.93501181904173,155.25470593496283,33.7
