Year,Week,ItemID-,Qty,ItemName-Map,BrandID-Map,BrandName-Map,Master Brand ID - Map,MasterBrandName-Map,LargeUOM,Factor,Avg_Daily_Demand,Safety_Stock,ROP,Avg_UnitPrice,Total_Promo,Total_CashDiscount,Total_ManualDiscount,Total_Taxes,Total_Revenue
2025,1,BCH-3-08-00272,20,بوشارتي ملح ,BCH-BCH01,بوشارتي,BCH,مقرمشات بوشارتي,PL,3.0,2.857142857142857,1.7142857142857144,21.714285714285715,557.9292307692308,-13,0,0,1655.35,13479.16
2025,1,BCH-3-08-00273,936,بوشارتي ملح باربكيو,BCH-BCH01,بوشارتي,BCH,مقرمشات بوشارتي,PL,3.0,133.71428571428572,80.22857142857144,1016.2285714285714,649.53575,-2254,0,0,91489.91,744988.39
2025,1,BCH-3-08-00274,1660,بوشارتي هوت باربكيو,BCH-BCH01,بوشارتي,BCH,مقرمشات بوشارتي,PL,3.0,237.14285714285714,142.28571428571428,1802.2857142857142,633.0529791271347,-4305,0,0,161971.09,1318905.26
2025,1,BCH-3-08-00275,1175,بوشارتي هوت باربكيو نيو,BCH-BCH01,بوشارتي,BCH,مقرمشات بوشارتي,PL,3.0,167.85714285714286,100.71428571428572,1275.7142857142858,743.634,-3510,0,0,132863.89,1081894.52
2025,1,BCH-3-08-00276,104,مقرمش كاتشب كلاسيك,BCH-MQR02,مقرمش,BCH,مقرمشات بوشارتي,PL,3.0,14.857142857142858,8.914285714285715,112.91428571428571,616.6066101694915,-392,0,0,9051.89,73708.77
2025,1,BCH-3-08-00284,26,بوشارتي مارشميللو سبايسي,BCH-BCH01,بوشارتي,BCH,مقرمشات بوشارتي,PL,3.0,3.7142857142857144,2.2285714285714286,28.228571428571428,594.9393333333334,-50,0,0,2184.83,17790.63
2025,1,BCH-3-08-00311,316,مقرمش شوكولاتة باربكيو,BCH-MQR02,مقرمش,BCH,مقرمشات بوشارتي,PL,3.0,45.142857142857146,27.08571428571429,343.0857142857143,670.4056962025315,-1232,0,0,30163.2,245614.73
2025,1,BCH-3-08-00312,303,مقرمش شوكولاتة سادة,BCH-MQR02,مقرمش,BCH,مقرمشات بوشارتي,PL,3.0,43.285714285714285,25.971428571428568,328.9714285714286,684.6091095890412,-962,0,0,29635.11,241314.31
2025,1,BCH-3-08-00313,307,مقرمش شيبس باربكيو,BCH-MQR02,مقرمش,BCH,مقرمشات بوشارتي,PL,3.0,43.857142857142854,26.31428571428571,333.3142857142857,634.558389261745,-897,0,0,28991.87,236075.85
2025,1,BCH-3-08-00334,540,بوشارتي كرانشي كلاسيك,BCH-BCH01,بوشارتي,BCH,مقرمشات بوشارتي,PL,3.0,77.14285714285714,46.285714285714285,586.2857142857143,587.0828744939271,-2165,0,0,46198.86,376190.04
2025,1,BCH-3-08-00335,685,بوشارتي مارشميللو حار,BCH-BCH01,بوشارتي,BCH,مقرمشات بوشارتي,PL,3.0,97.85714285714286,58.71428571428572,743.7142857142858,563.9375081967213,-2065,0,0,57763.72,470361.34
2025,1,CHB-3-07-00077,9585,شوكو بوم كرانشي هوت,CHB01,شوكو بوم,CHB,شوكو بوم,CT,8.0,1369.2857142857142,2190.8571428571427,11775.857142857143,496.14331095791005,-7546,0,0,684548.71,5574183.675
2025,1,CHB-3-07-00088,747,شوكو بوم بوب كورن باربكيو,CHB01,شوكو بوم,CHB,شوكو بوم,CT,8.0,106.71428571428571,170.74285714285713,917.7428571428571,514.0623529411765,-835,0,0,50196.88,408746.05
2025,1,CHB-3-07-00091,4491,شوكو بوم فشار باربكيو,CHB01,شوكو بوم,CHB,شوكو بوم,CT,8.0,641.5714285714286,1026.5142857142857,5517.5142857142855,500.8304625984252,-5460,0,0,321306.55,2616353.895
2025,1,CHB-3-07-00106,527,شوكو بوم شيبس كوول,CHB01,شوكو بوم,CHB,شوكو بوم,CT,8.0,75.28571428571429,120.45714285714287,647.4571428571429,563.9419523809523,-810,0,0,40380.61,328812.83
2025,1,CHB-3-07-00108,200,شوكو بوم شيبس جاوار,CHB01,شوكو بوم,CHB,شوكو بوم,CT,8.0,28.571428571428573,45.71428571428572,245.71428571428572,0.0,0,0,0,0.0,0.0
2025,1,CHB-3-07-00109,25,شوكو بوم كرانشي سادة,CHB01,شوكو بوم,CHB,شوكو بوم,CT,8.0,3.5714285714285716,5.714285714285715,30.714285714285715,0.0,0,0,0,0.0,0.0
2025,1,FRF-2-01-00075,0,فرفشة هوت كراميل,FRF-FRFSH03,فرفش,FRF,فرفشة,CT,60.0,0.0,0.0,0.0,336.06,-10,0,0,-1.4099999999999966,-11.490000000000009
2025,1,FRF-2-01-00375,123,فرفشة فشار كلاسيك,FRF-FRFSH03,فرفش,FRF,فرفشة,PL,18.0,17.571428571428573,63.25714285714287,186.25714285714287,338.64000000000004,-937,0,0,5650.26,46009.13
